fighter_name,fighter_url,height,weight,reach,stance,dob,record,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Mick Parkin,http://ufcstats.com/fighter-details/0d5cc0170c1a7e71,"6' 4""",265 lbs.,"79""",Orthodox,"Oct 02, 1995",10-1-0,4.70,50%,4.13,,1.38,46%,50%,0.2
Michal Oleksiejczuk,http://ufcstats.com/fighter-details/0d65c432720accb9,"6' 0""",185 lbs.,"74""",Southpaw,"Feb 22, 1995",21-9-0 (1 NC),5.34,51%,4.41,,1.02,43%,52%,0.0
Dricus Du Plessis,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,"6' 1""",185 lbs.,"76""",Switch,"Jan 14, 1994",23-3-0,5.18,48%,4.33,,2.22,51%,34%,0.7
Sean Strickland,http://ufcstats.com/fighter-details/0d8011111be000b2,"6' 1""",185 lbs.,"76""",Orthodox,"Feb 27, 1991",29-7-0,5.95,42%,4.57,,0.73,64%,76%,0.2
Timmy Cuamba,http://ufcstats.com/fighter-details/0e46690e55a8df75,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 08, 1999",9-3-0,3.12,42%,4.30,,1.11,26%,80%,0.0
Nikolay Veretennikov,http://ufcstats.com/fighter-details/0f1efce7d2571d10,"6' 1""",170 lbs.,"74""",Orthodox,"Dec 22, 1989",13-6-0,3.01,55%,3.43,,0.55,18%,62%,0.0
Sean Sharaf,http://ufcstats.com/fighter-details/0f3a990526c5e706,"6' 3""",252 lbs.,"77""",Orthodox,"Jul 11, 1993",4-1-0,7.31,44%,9.79,,2.07,12%,0%,0.0
Said Nurmagomedov,http://ufcstats.com/fighter-details/0fd5f4b838e890cc,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 05, 1992",18-5-0,3.08,48%,2.05,,0.86,15%,63%,1.1
Irina Alekseeva,http://ufcstats.com/fighter-details/103e2e33a60683e1,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",5-3-0,4.01,39%,5.03,,0.47,20%,66%,0.5
Nikita Krylov,http://ufcstats.com/fighter-details/1091d4d957141094,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 07, 1992",30-11-0,4.31,54%,2.58,,2.17,38%,53%,1.4
Davey Grant,http://ufcstats.com/fighter-details/113df4fde64735c6,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 18, 1985",17-7-0,5.18,44%,3.74,,1.04,40%,63%,0.2
Lucas Alexander,http://ufcstats.com/fighter-details/11583163f45c7b31,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995",8-5-0,4.69,57%,2.87,,0.00,0%,60%,0.0
ChangHo Lee,http://ufcstats.com/fighter-details/117a06469813e4ef,"5' 8""",135 lbs.,"69""",Orthodox,"May 09, 1994",11-1-0,4.92,67%,2.35,,3.27,33%,37%,0.4
Bruno Silva,http://ufcstats.com/fighter-details/12ebd7d157e91701,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 13, 1989",23-13-0,3.86,48%,5.35,,0.77,22%,74%,0.0
Valentina Shevchenko,http://ufcstats.com/fighter-details/132deb59abae64b1,"5' 5""",125 lbs.,"66""",Southpaw,"Mar 07, 1988",25-4-1,3.14,52%,2.06,,2.62,60%,75%,0.3
Israel Adesanya,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",24-5-0,4.02,48%,3.20,,0.05,11%,76%,0.1
Jared Cannonier,http://ufcstats.com/fighter-details/13a0275fa13c4d26,"5' 11""",185 lbs.,"77""",Switch,"Mar 16, 1984",18-9-0,4.42,49%,4.35,,0.54,40%,64%,0.0
Robelis Despaigne,http://ufcstats.com/fighter-details/140567899d98978a,"6' 7""",265 lbs.,"84""",Orthodox,"Sep 09, 1988",5-2-0,2.11,59%,2.54,,0.00,0%,50%,0.0
Tresean Gore,http://ufcstats.com/fighter-details/147e70aa6cc48cfc,"6' 0""",185 lbs.,"75""",Switch,"Jun 21, 1994",6-4-0,2.76,42%,7.48,,1.83,75%,88%,0.9
Toshiomi Kazama,http://ufcstats.com/fighter-details/148bb103cfbf123e,"5' 7""",135 lbs.,"69""",Orthodox,"May 15, 1997",11-5-0,1.49,53%,4.56,,1.94,16%,66%,1.0
Ange Loosa,http://ufcstats.com/fighter-details/1497e735d9f2560a,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 18, 1993",10-5-0 (1 NC),5.46,46%,6.59,,2.53,39%,83%,0.2
Max Holloway,http://ufcstats.com/fighter-details/150ff4cc642270b9,"5' 11""",145 lbs.,"69""",Orthodox,"Dec 04, 1991",27-8-0,7.20,48%,4.74,,0.24,53%,83%,0.3
Roberto Romero,http://ufcstats.com/fighter-details/15ea371202eb25e1,"5' 8""",145 lbs.,"70""",Orthodox,"Jan 30, 2000",8-5-1,4.56,49%,6.44,,0.00,0%,71%,0.0
Quillan Salkilld,http://ufcstats.com/fighter-details/17734443a833cdf7,"6' 0""",155 lbs.,"75""",Orthodox,"Dec 28, 1999",9-1-0,5.48,59%,3.46,,8.41,37%,100%,0.5
Tallison Teixeira,http://ufcstats.com/fighter-details/17923f676f100e16,"6' 7""",258 lbs.,"83""",Orthodox,"Dec 07, 1999",8-1-0,12.83,59%,8.98,,0.00,0%,0%,0.0
Nyamjargal Tumendemberel,http://ufcstats.com/fighter-details/17cb6d8e8187f304,"5' 7""",125 lbs.,"71""",Orthodox,"Mar 22, 1998",9-1-0,3.18,39%,3.33,,3.10,38%,54%,2.6
Joshua Van,http://ufcstats.com/fighter-details/17e97649403ba428,"5' 5""",125 lbs.,"65""",Orthodox,"Oct 10, 2001",15-2-0,8.86,56%,6.36,,0.85,63%,81%,0.0
Jeremy Stephens,http://ufcstats.com/fighter-details/18968f97ad34f15c,"5' 9""",155 lbs.,"71""",Orthodox,"May 25, 1986",28-20-0 (1 NC),3.15,40%,3.14,,1.11,38%,62%,0.4
Alatengheili,http://ufcstats.com/fighter-details/1897b7b913736a7c,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",17-10-2,2.82,32%,5.12,,1.74,43%,75%,0.0
Vinicius Oliveira,http://ufcstats.com/fighter-details/18d01f7f8338ae72,"5' 9""",135 lbs.,"70""",Switch,"Nov 30, 1995",23-3-0,5.28,43%,2.89,,1.67,50%,80%,0.2
Dan Hooker,http://ufcstats.com/fighter-details/193b9d1858bc4df3,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",24-12-0,5.03,48%,4.72,,0.73,34%,78%,0.3
Viacheslav Borshchev,http://ufcstats.com/fighter-details/19c591115a58982c,"5' 11""",155 lbs.,"69""",Orthodox,"Jan 08, 1992",8-6-1,5.22,54%,4.73,,0.00,0%,42%,0.1
Puja Tomar,http://ufcstats.com/fighter-details/19f8a2f6eecd92ac,"5' 4""",115 lbs.,"59""",Southpaw,"Dec 05, 1993",9-5-0,5.61,48%,5.82,,0.00,0%,100%,0.0
Serhiy Sidey,http://ufcstats.com/fighter-details/1a2bf44edb8055b6,"5' 11""",135 lbs.,"72""",Switch,"Jul 04, 1996",12-2-0,4.49,39%,4.26,,1.58,25%,20%,1.3
Matheus Nicolau,http://ufcstats.com/fighter-details/1a31ef98efce7a79,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 06, 1993",19-6-1,3.31,51%,2.98,,1.22,43%,90%,0.8
Don'Tale Mayes,http://ufcstats.com/fighter-details/1a9480fc288e55d7,"6' 6""",260 lbs.,"81""",Orthodox,"Jan 16, 1992",11-9-0 (1 NC),3.22,43%,3.61,,0.59,38%,46%,0.0
Ricardo Ramos,http://ufcstats.com/fighter-details/1ae8f3c723aacff4,"5' 9""",145 lbs.,"72""",Orthodox,"Aug 01, 1995",17-7-0,2.97,36%,4.06,,2.57,57%,70%,0.7
Kayla Harrison,http://ufcstats.com/fighter-details/1af1170ed937cba7,"5' 8""",135 lbs.,"66""",Southpaw,"Jul 02, 1990",19-1-0,4.29,62%,1.10,,2.84,37%,100%,0.9
Stephanie Luciano,http://ufcstats.com/fighter-details/1b35af4d1529adf6,"5' 6""",115 lbs.,"65""",Orthodox,"Dec 16, 1999",6-2-1,5.36,41%,3.38,,0.67,66%,80%,0.0
Axel Sola,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb,"6' 2""",170 lbs.,"74""",Southpaw,"Sep 17, 1997",11-0-1,3.74,42%,2.74,,1.25,25%,0%,0.0
Fares Ziam,http://ufcstats.com/fighter-details/1e4f273069fb9e85,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 21, 1997",17-4-0,2.85,51%,1.62,,1.62,40%,70%,0.2
Brunno Ferreira,http://ufcstats.com/fighter-details/1e719d4b676dc19a,"5' 10""",185 lbs.,"72""",Orthodox,"Nov 04, 1992",14-2-0,3.41,50%,3.34,,1.39,28%,57%,1.0
Zhang Weili,http://ufcstats.com/fighter-details/1ebe20ebbfa15e29,"5' 4""",115 lbs.,"63""",Switch,"Aug 13, 1989",26-3-0,5.15,53%,2.77,,2.24,45%,74%,0.5
Garrett Armfield,http://ufcstats.com/fighter-details/1effd880e1f1bb30,"5' 6""",135 lbs.,"70""",Orthodox,"Oct 09, 1996",10-5-0,5.35,53%,3.64,,1.10,50%,64%,0.6
Melquizael Costa,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e,"5' 10""",145 lbs.,"71""",Southpaw,"Sep 14, 1996",24-7-0,4.44,49%,3.09,,1.96,38%,58%,1.2
Tony Ferguson,http://ufcstats.com/fighter-details/22a92d7f62195791,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 12, 1984",26-11-0,4.91,45%,4.37,,0.39,35%,66%,0.9
Andrey Pulyaev,http://ufcstats.com/fighter-details/22e07d3da1aa3475,"6' 4""",185 lbs.,"78""",Southpaw,"Sep 10, 1997",10-3-0,3.81,60%,3.51,,0.41,16%,64%,0.0
Gilbert Burns,http://ufcstats.com/fighter-details/23024fdfc966410a,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 20, 1986",22-9-0,3.15,48%,3.64,,2.12,37%,53%,0.5
Kevin Vallejos,http://ufcstats.com/fighter-details/239d8e5359022f3b,"5' 7""",145 lbs.,"68""",Switch,"Dec 08, 2001",16-1-0,6.28,45%,5.23,,0.84,33%,83%,0.0
Zachary Reese,http://ufcstats.com/fighter-details/23dec7c47cb418f8,"6' 4""",185 lbs.,"77""",Switch,"Mar 24, 1994",9-2-0,4.28,54%,2.99,,2.88,58%,57%,1.2
Kron Gracie,http://ufcstats.com/fighter-details/242d36d241b43c12,"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988",5-3-0,2.95,42%,5.73,,0.35,25%,0%,0.7
Aiemann Zahabi,http://ufcstats.com/fighter-details/24656ef4d605c96f,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987",13-2-0,4.42,46%,4.13,,0.14,14%,83%,0.0
Allan Nascimento,http://ufcstats.com/fighter-details/253076a23d03dcd0,"5' 8""",125 lbs.,"69""",Orthodox,"Sep 11, 1991",21-6-0,2.64,60%,1.96,,1.42,24%,30%,0.9
Khaos Williams,http://ufcstats.com/fighter-details/2558ae2e5671e318,"6' 0""",170 lbs.,"77""",Orthodox,"Mar 30, 1994",15-5-0,4.94,39%,5.39,,0.00,0%,51%,0.0
Jhonata Diniz,http://ufcstats.com/fighter-details/25f9a5f3e8a52618,"6' 4""",254 lbs.,"79""",Orthodox,"Jun 23, 1991",9-1-0,4.58,56%,3.71,,0.00,0%,78%,0.0
Ihor Potieria,http://ufcstats.com/fighter-details/260bd4cef10b033f,"6' 3""",185 lbs.,"75""",Southpaw,"May 29, 1996",20-8-0,4.44,50%,4.96,,0.73,18%,66%,0.0
Rodolfo Vieira,http://ufcstats.com/fighter-details/260e9e0d4954aea6,"6' 0""",185 lbs.,"73""",Orthodox,"Sep 25, 1989",11-3-0,3.77,55%,4.12,,3.09,23%,100%,1.0
Alexander Hernandez,http://ufcstats.com/fighter-details/262a7d06203657e6,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992",17-8-0,4.36,40%,4.60,,1.20,36%,73%,0.1
Natalia Silva,http://ufcstats.com/fighter-details/262d32ebda89efc4,"5' 4""",125 lbs.,"65""",Southpaw,"Feb 03, 1997",19-5-1,5.04,46%,2.46,,0.34,25%,92%,0.0
Islam Makhachev,http://ufcstats.com/fighter-details/275aca31f61ba28c,"5' 10""",170 lbs.,"70""",Southpaw,"Oct 27, 1991",27-1-0,2.63,58%,1.55,,3.20,53%,90%,1.1
Alexander Volkov,http://ufcstats.com/fighter-details/279566840aa55bf2,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988",38-11-0,4.97,57%,2.99,,0.61,66%,72%,0.2
Dione Barbosa,http://ufcstats.com/fighter-details/27b388f0aab49780,"5' 6""",125 lbs.,"66""",Orthodox,"May 08, 1992",8-4-0,2.27,45%,2.45,,2.23,42%,50%,1.9
JunYong Park,http://ufcstats.com/fighter-details/285ae0b4a68221f4,"5' 10""",185 lbs.,"73""",Orthodox,"Feb 27, 1991",19-6-0,4.59,50%,3.59,,1.87,42%,57%,0.9
Carlos Leal,http://ufcstats.com/fighter-details/28d421729451c8ca,"5' 11""",170 lbs.,"74""",Orthodox,"May 04, 1994",22-7-0,9.57,50%,7.61,,0.75,25%,90%,0.0
Luis Gurule,http://ufcstats.com/fighter-details/29162be25ebef5f0,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 16, 1993",10-1-0,5.34,48%,3.74,,0.68,16%,50%,0.0
Bruno Silva,http://ufcstats.com/fighter-details/294aa73dbf37d281,"5' 4""",125 lbs.,"65""",Orthodox,"Mar 16, 1990",14-7-2 (1 NC),3.83,49%,4.81,,1.79,23%,60%,0.2
Kiru Sahota,http://ufcstats.com/fighter-details/296a120cb880477b,"5' 10""",125 lbs.,"73""",Orthodox,"May 28, 1995",12-3-0,4.05,52%,2.64,,0.92,33%,50%,0.5
Wang Cong,http://ufcstats.com/fighter-details/2997e7fe3c9d3d4a,"5' 6""",125 lbs.,"66""",Southpaw,"May 15, 1992",8-1-0,7.48,57%,2.68,,1.05,75%,100%,0.7
Damon Jackson,http://ufcstats.com/fighter-details/29af297d9f1de0f8,"5' 11""",155 lbs.,"71""",Switch,"Aug 08, 1988",23-8-1 (1 NC),2.96,42%,3.47,,2.30,32%,37%,1.2
Umar Nurmagomedov,http://ufcstats.com/fighter-details/2b6fc1c02736833d,"5' 8""",135 lbs.,"69""",Orthodox,"Jan 03, 1996",18-1-0,4.38,57%,2.15,,3.26,39%,78%,0.3
Stewart Nicoll,http://ufcstats.com/fighter-details/2bd98ab77a8daa75,"5' 5""",125 lbs.,"65""",Orthodox,"Nov 04, 1994",8-1-0,3.02,47%,1.13,,5.66,100%,0%,0.0
Vanessa Demopoulos,http://ufcstats.com/fighter-details/2c483cf443f38ece,"5' 2""",125 lbs.,"59""",Orthodox,"Sep 22, 1988",11-8-0,3.37,39%,5.39,,0.32,9%,26%,0.4
Tainara Lisboa,http://ufcstats.com/fighter-details/2c5f5749569eef66,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 02, 1991",7-3-0,1.68,43%,1.42,,1.53,36%,58%,0.4
Andreas Gustafsson,http://ufcstats.com/fighter-details/2caf993f53541fa1,"6' 1""",170 lbs.,"73""",Orthodox,"Feb 20, 1991",12-3-0,5.82,71%,3.63,,6.19,58%,100%,0.0
Jairzinho Rozenstruik,http://ufcstats.com/fighter-details/2cd428e9606856fd,"6' 2""",242 lbs.,"78""",Orthodox,"Mar 17, 1988",15-6-0,3.48,48%,2.63,,0.00,0%,72%,0.0
Patchy Mix,http://ufcstats.com/fighter-details/2cfba6c837c03ed0,"5' 11""",135 lbs.,"70""",Southpaw,"Aug 16, 1993",20-2-0,8.13,40%,11.53,,0.00,0%,0%,0.0
Harry Hardwick,http://ufcstats.com/fighter-details/2dbc60c52de126d8,"5' 8""",155 lbs.,"71""",Switch,"Sep 29, 1994",13-4-1,2.39,34%,7.16,,0.00,0%,0%,0.0
Dominick Reyes,http://ufcstats.com/fighter-details/2e19380f34871c6a,"6' 4""",205 lbs.,"77""",Southpaw,"Dec 26, 1989",15-4-0,5.58,54%,3.54,,0.31,28%,82%,0.3
Malcolm Wellmaker,http://ufcstats.com/fighter-details/2e45d08b3f2f02c8,"5' 10""",135 lbs.,"71""",Switch,"Jun 04, 1994",10-0-0,7.20,62%,4.80,,0.00,0%,100%,0.0
Paulo Costa,http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82,"6' 1""",185 lbs.,"72""",Orthodox,"Apr 21, 1991",15-4-0,6.26,58%,6.20,,0.32,50%,80%,0.0
Manuel Torres,http://ufcstats.com/fighter-details/2e7878927067fdca,"5' 10""",155 lbs.,"73""",Switch,"Mar 25, 1995",16-3-0,7.87,60%,4.20,,2.00,66%,88%,1.0
Brendan Allen,http://ufcstats.com/fighter-details/2f181c0467965b98,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",25-7-0,3.85,53%,3.96,,1.65,41%,56%,1.2
Rei Tsuruya,http://ufcstats.com/fighter-details/2f43a3e82661fa99,"5' 6""",125 lbs.,"68""",Orthodox,"Jun 22, 2002",10-1-0,2.24,52%,2.01,,5.06,37%,50%,1.9
Ateba Gautier,http://ufcstats.com/fighter-details/2f815ed5f8278ba6,"6' 4""",185 lbs.,"81""",Switch,"Apr 10, 2002",8-1-0,6.93,61%,2.19,,0.00,0%,90%,0.0
Joseph Morales,http://ufcstats.com/fighter-details/2fe9032955c2e013,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994",14-2-0,2.02,40%,2.11,,1.23,42%,28%,2.9
Alibi Idiris,http://ufcstats.com/fighter-details/30cad5a751adcb48,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 22, 1994",11-1-0,3.47,50%,3.60,,0.00,0%,60%,0.0
Djorden Santos,http://ufcstats.com/fighter-details/312f7d7b2b2f7de4,"6' 0""",185 lbs.,"75""",Orthodox,"Aug 01, 1997",10-2-0,7.20,43%,5.87,,1.00,40%,86%,0.0
Yana Santos,http://ufcstats.com/fighter-details/3143bf892608139a,"5' 6""",135 lbs.,"68""",Orthodox,"Nov 11, 1989",16-8-0 (1 NC),4.42,58%,3.07,,0.87,50%,53%,0.1
Trey Waters,http://ufcstats.com/fighter-details/31dbfbe4e7a6727c,"6' 5""",170 lbs.,"77""",Orthodox,"Feb 21, 1995",9-2-0,6.39,44%,5.83,,0.40,33%,85%,0.8
Tecia Pennington,http://ufcstats.com/fighter-details/31ef8b67e13495b3,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",15-7-0,4.78,48%,3.48,,0.54,13%,62%,0.1
Kyle Nelson,http://ufcstats.com/fighter-details/31f8081c7600da93,"5' 11""",155 lbs.,"71""",Switch,"Apr 20, 1991",16-6-1,3.51,45%,4.72,,1.06,20%,73%,0.6
Esteban Ribovics,http://ufcstats.com/fighter-details/323d4ca260dfa0ba,"5' 10""",155 lbs.,"69""",Orthodox,"Apr 27, 1996",15-2-0,8.09,43%,6.30,,0.39,66%,70%,0.2
Song Kenan,http://ufcstats.com/fighter-details/32490e80ddab1e5a,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 10, 1990",22-9-0,4.49,46%,5.82,,0.42,30%,73%,0.0
Julianna Pena,http://ufcstats.com/fighter-details/3253b16d38ae087d,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 19, 1989",13-6-0,3.10,44%,2.56,,1.70,54%,24%,0.8
