fighter_name,fighter_url,height,weight,reach,stance,dob,record,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Karol Rosa,http://ufcstats.com/fighter-details/351c4ec637380ad5,"5' 5""",135 lbs.,"67""",Orthodox,"Dec 30, 1994",19-7-0,5.88,56%,4.59,,1.17,48%,70%,0.2
Viviane Araujo,http://ufcstats.com/fighter-details/36541f1e6c5d4955,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",13-7-0,3.84,47%,4.83,,1.72,43%,75%,0.6
Mohammad Yahya,http://ufcstats.com/fighter-details/3753714927f18437,"5' 9""",145 lbs.,"73""",Switch,"May 23, 1994",12-6-0,3.50,39%,6.39,,0.50,20%,42%,0.5
Nikolas Motta,http://ufcstats.com/fighter-details/37f560436d745c18,"5' 9""",155 lbs.,"70""",Orthodox,"Feb 08, 1993",15-6-0 (1 NC),4.13,38%,5.28,,0.00,0%,83%,0.0
Francisco Prado,http://ufcstats.com/fighter-details/3920d0cc288f9b0d,"5' 10""",170 lbs.,"69""",Orthodox,"Jun 16, 2002",12-4-0,4.09,43%,4.95,,0.94,19%,50%,0.5
Lerone Murphy,http://ufcstats.com/fighter-details/396fe87b84ac2e1c,"5' 9""",145 lbs.,"73""",Orthodox,"Jul 22, 1991",17-0-1,4.48,53%,2.51,,1.41,54%,51%,0.5
Kevin Holland,http://ufcstats.com/fighter-details/3a46b268013afede,"6' 3""",170 lbs.,"81""",Orthodox,"Nov 05, 1992",28-14-0 (1 NC),4.30,50%,3.22,,0.82,38%,55%,0.6
Sumudaerji,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996",18-7-0,4.48,52%,2.39,,0.16,11%,71%,0.6
Tuco Tokkos,http://ufcstats.com/fighter-details/3e8118c1ab52f211,"6' 4""",205 lbs.,"76""",Orthodox,"Jun 30, 1990",11-5-0,2.12,40%,4.27,,4.21,47%,33%,0.5
Jackson McVey,http://ufcstats.com/fighter-details/3eeec2f53cebdf12,"6' 4""",185 lbs.,"77""",Southpaw,"Mar 25, 1999",6-1-0,1.12,26%,1.95,,0.00,0%,0%,0.0
Yizha,http://ufcstats.com/fighter-details/3f11fd1751fa83b1,"5' 7""",145 lbs.,"71""",Orthodox,"Jan 08, 1997",26-5-0,2.97,45%,2.81,,3.51,30%,54%,1.1
Melissa Martinez,http://ufcstats.com/fighter-details/3f4c3bc822bea45d,"5' 2""",115 lbs.,"66""",Southpaw,"Aug 18, 1997",8-2-0,3.78,47%,5.21,,0.35,50%,50%,0.0
Daniel Zellhuber,http://ufcstats.com/fighter-details/4148802ae4a50768,"6' 1""",155 lbs.,"77""",Switch,"Jul 07, 1999",15-3-0,5.83,39%,5.91,,0.15,25%,94%,0.1
Hyder Amil,http://ufcstats.com/fighter-details/41cc71cbf210e0fe,"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990",11-1-0,6.84,57%,4.18,,0.77,20%,81%,1.2
Tatsuro Taira,http://ufcstats.com/fighter-details/4461d7e47375a895,"5' 7""",125 lbs.,"70""",Orthodox,"Jan 27, 2000",17-1-0,2.87,60%,2.54,,3.21,48%,45%,1.7
Muslim Salikhov,http://ufcstats.com/fighter-details/447f9858ae78f921,"5' 11""",170 lbs.,"70""",Orthodox,"Jun 09, 1984",22-5-0,3.39,49%,2.92,,1.08,32%,72%,0.0
John Yannis,http://ufcstats.com/fighter-details/450bcab0968562c4,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 07, 1994",9-4-0,0.00,0%,0.55,,0.00,0%,0%,0.0
Miles Johns,http://ufcstats.com/fighter-details/46e0d677f91bacc0,"5' 7""",135 lbs.,"68""",Orthodox,"Mar 30, 1994",15-4-0 (1 NC),3.38,44%,2.99,,1.29,26%,83%,0.0
Kiefer Crosbie,http://ufcstats.com/fighter-details/4729c93ba705a3bf,"5' 11""",170 lbs.,"70""",Switch,"Apr 05, 1990",10-6-0,4.46,64%,5.80,,0.00,0%,40%,0.0
Elves Brener,http://ufcstats.com/fighter-details/48a9a128784d53d1,"5' 10""",155 lbs.,"72""",Orthodox,"Sep 27, 1997",16-6-0,4.76,47%,5.86,,0.99,16%,76%,0.0
Seokhyeon Ko,http://ufcstats.com/fighter-details/4a07b1988477502c,"5' 10""",170 lbs.,"71""",Southpaw,"Sep 24, 1993",12-2-0,2.90,52%,2.00,,4.00,53%,75%,0.5
Stephen Thompson,http://ufcstats.com/fighter-details/4a28cb716c19157a,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",17-9-1,4.05,46%,3.00,,0.23,35%,63%,0.0
Michael Johnson,http://ufcstats.com/fighter-details/511e82663651438d,"5' 10""",155 lbs.,"73""",Southpaw,"Jun 04, 1986",25-19-0,4.28,39%,3.79,,0.58,38%,81%,0.0
Felipe Bunes,http://ufcstats.com/fighter-details/53c10176e3bc7416,"5' 7""",125 lbs.,"69""",Orthodox,"Oct 29, 1989",14-8-0,2.93,50%,4.66,,1.13,22%,40%,2.3
Chris Curtis,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 15, 1987",32-12-0 (1 NC),5.98,50%,6.19,,0.00,0%,82%,0.0
Jamahal Hill,http://ufcstats.com/fighter-details/5444c5a201d3ee5a,"6' 4""",205 lbs.,"79""",Southpaw,"May 19, 1991",12-4-0 (1 NC),6.19,51%,4.03,,0.00,0%,73%,0.0
Ilia Topuria,http://ufcstats.com/fighter-details/54f64b5e283b0ce7,"5' 7""",155 lbs.,"69""",Orthodox,"Jan 21, 1997",17-0-0,4.81,48%,3.83,,1.96,61%,93%,1.1
Aaron Pico,http://ufcstats.com/fighter-details/5537efc6e496dd84,"5' 8""",145 lbs.,"70""",Orthodox,"Sep 23, 1996",13-5-0,3.88,44%,2.39,,8.96,66%,0%,0.0
Nate Landwehr,http://ufcstats.com/fighter-details/583ee11abddfc581,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 06, 1988",18-7-0,5.63,45%,5.83,,0.76,41%,71%,0.8
Michel Pereira,http://ufcstats.com/fighter-details/595db60957de51d3,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 06, 1993",31-14-0 (2 NC),4.49,52%,4.35,,1.13,52%,76%,0.7
Morgan Charriere,http://ufcstats.com/fighter-details/5b03b61f9d90125e,"5' 8""",145 lbs.,"69""",Orthodox,"Oct 26, 1995",21-11-1,4.08,50%,4.54,,2.11,46%,83%,0.3
Christian Rodriguez,http://ufcstats.com/fighter-details/5ec591b78349ba7e,"5' 7""",145 lbs.,"71""",Orthodox,"Dec 17, 1997",12-4-0,3.85,50%,2.85,,1.75,40%,67%,1.1
Kyler Phillips,http://ufcstats.com/fighter-details/60425d07ef4b91a7,"5' 8""",135 lbs.,"72""",Orthodox,"Jun 12, 1995",12-4-0,5.04,42%,3.83,,2.31,45%,75%,0.4
Marcin Prachnio,http://ufcstats.com/fighter-details/6370c1c1e12723d5,"6' 3""",205 lbs.,"73""",Orthodox,"Jul 14, 1988",17-9-0,5.52,54%,3.15,,0.14,20%,53%,0.0
Edson Barboza,http://ufcstats.com/fighter-details/64a50dad704d1d49,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 21, 1986",24-13-0,4.14,44%,4.60,,0.43,50%,73%,0.1
Eric Nolan,http://ufcstats.com/fighter-details/64b12fe31be7560c,"6' 2""",185 lbs.,"74""",Orthodox,"Sep 13, 1997",8-4-0,3.14,39%,5.13,,0.00,0%,71%,0.0
Uros Medic,http://ufcstats.com/fighter-details/681399317dbf4701,"6' 1""",170 lbs.,"71""",Southpaw,"Apr 25, 1993",11-3-0,5.47,60%,3.50,,0.36,50%,55%,0.0
Tracy Cortez,http://ufcstats.com/fighter-details/68d4a891e5cf2029,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 10, 1993",12-2-0,3.79,49%,2.84,,2.19,47%,62%,0.3
Steven Nguyen,http://ufcstats.com/fighter-details/69037fc7730e4225,"5' 11""",145 lbs.,"73""",Switch,"May 19, 1993",10-2-0,7.47,42%,7.10,,0.24,100%,88%,0.0
Jessica Andrade,http://ufcstats.com/fighter-details/6a1901c62ab3870f,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",26-15-0,6.37,48%,5.58,,2.10,54%,75%,0.3
Ismail Naurdiev,http://ufcstats.com/fighter-details/6a96ad1bc34fb113,"5' 10""",185 lbs.,"74""",Orthodox,"Aug 18, 1996",24-8-0,3.69,52%,1.77,,1.50,40%,73%,0.2
Gerald Meerschaert,http://ufcstats.com/fighter-details/6ac9bc2953c47345,"6' 1""",185 lbs.,"77""",Southpaw,"Dec 18, 1987",37-20-0,3.02,45%,3.49,,1.83,30%,42%,1.4
Julius Walker,http://ufcstats.com/fighter-details/6add18754930182b,"6' 4""",205 lbs.,"78""",Orthodox,"Jul 16, 1999",7-1-0,4.33,55%,3.53,,3.50,36%,100%,0.0
Oban Elliott,http://ufcstats.com/fighter-details/6b56e94a59b7b134,"6' 0""",170 lbs.,"72""",Orthodox,"Dec 19, 1997",12-3-0,3.50,48%,2.24,,1.70,44%,55%,0.0
Ode Osbourne,http://ufcstats.com/fighter-details/6d68c1afe954f121,"5' 7""",125 lbs.,"73""",Southpaw,"Jan 09, 1992",13-9-0 (1 NC),3.07,41%,3.43,,1.09,30%,66%,0.5
Brandon Royval,http://ufcstats.com/fighter-details/6e15f63b6c2e2c15,"5' 9""",125 lbs.,"68""",Southpaw,"Aug 16, 1992",17-8-0,5.55,41%,4.23,,0.67,75%,45%,1.1
Payton Talbott,http://ufcstats.com/fighter-details/6e743a33d56bdaa4,"5' 10""",135 lbs.,"70""",Switch,"Sep 09, 1998",10-1-0,6.05,54%,3.26,,0.24,25%,76%,0.2
Ibo Aslan,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,"6' 3""",205 lbs.,"77""",Orthodox,"Apr 23, 1996",14-3-0,5.09,47%,3.47,,0.00,0%,86%,0.0
Diyar Nurgozhay,http://ufcstats.com/fighter-details/709fadb644ee3f51,"6' 2""",205 lbs.,"74""",Southpaw,"Apr 22, 1997",10-2-0,3.04,50%,2.99,,2.54,100%,100%,0.0
Jimmy Crute,http://ufcstats.com/fighter-details/70e1f8a821b72c8b,"6' 2""",205 lbs.,"74""",Orthodox,"Mar 04, 1996",13-4-2,4.17,52%,3.68,,4.20,52%,58%,1.9
Vitor Petrino,http://ufcstats.com/fighter-details/71171fc96445bf65,"6' 2""",265 lbs.,"77""",Orthodox,"Aug 28, 1997",12-2-0,2.72,45%,2.60,,3.25,58%,71%,1.0
Lauren Murphy,http://ufcstats.com/fighter-details/729d4bd5a6cd0a97,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1983",16-7-0,3.94,38%,5.19,,1.09,24%,67%,0.2
Rizvan Kuniev,http://ufcstats.com/fighter-details/739fd4fbb5d862f4,"6' 4""",240 lbs.,"76""",Orthodox,"Mar 10, 1992",12-3-1 (1 NC),4.45,58%,2.45,,1.45,75%,90%,0.0
Fatima Kline,http://ufcstats.com/fighter-details/745fa7b605f8e2da,"5' 6""",115 lbs.,"67""",Orthodox,"Jul 12, 2000",8-1-0,3.94,49%,2.29,,1.21,60%,50%,0.0
Elijah Smith,http://ufcstats.com/fighter-details/7478b7f959ba61f5,"5' 9""",135 lbs.,"71""",Orthodox,"Sep 05, 2002",9-1-0,4.45,47%,3.40,,3.51,53%,57%,0.9
Taiyilake Nueraji,http://ufcstats.com/fighter-details/7498b3ac79a3b948,"6' 2""",170 lbs.,"75""",Southpaw,"Jan 12, 2001",12-1-0 (1 NC),9.82,53%,5.01,,1.47,33%,100%,0.0
Khalil Rountree Jr.,http://ufcstats.com/fighter-details/749f572d1d3161fb,"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990",15-6-0 (1 NC),3.79,40%,4.24,,0.00,0%,58%,0.1
Calvin Kattar,http://ufcstats.com/fighter-details/751de04455cfaac0,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988",23-10-0,4.41,37%,6.55,,0.34,29%,77%,0.1
Khamzat Chimaev,http://ufcstats.com/fighter-details/767755fd74662dbf,"6' 2""",185 lbs.,"75""",Orthodox,"May 01, 1994",15-0-0,4.04,60%,2.32,,5.29,55%,85%,1.8
Marvin Vettori,http://ufcstats.com/fighter-details/7acbb0972e75281a,"6' 0""",185 lbs.,"74""",Southpaw,"Sep 20, 1993",19-9-1,4.68,45%,4.52,,1.43,45%,65%,0.4
Westin Wilson,http://ufcstats.com/fighter-details/7b3503352cd53abb,"6' 1""",145 lbs.,"73""",Southpaw,"Jan 24, 1989",17-10-0,1.57,31%,6.71,,1.57,16%,33%,7.9
Drakkar Klose,http://ufcstats.com/fighter-details/7cbf7c78d3b34218,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 09, 1988",16-3-1,4.25,55%,3.65,,1.49,26%,69%,0.0
Jose Delgado,http://ufcstats.com/fighter-details/7d6ceff6747f2de2,"5' 11""",145 lbs.,"74""",Switch,"Apr 21, 1998",10-1-0,7.13,49%,3.67,,4.58,60%,71%,0.0
Nick Klein,http://ufcstats.com/fighter-details/7eaa5e31c2dd86aa,"6' 1""",185 lbs.,"77""",Orthodox,"Sep 08, 1995",6-3-0,2.51,56%,3.41,,5.79,35%,66%,1.9
Carlos Prates,http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3,"6' 1""",170 lbs.,"78""",Switch,"Aug 17, 1993",22-7-0,3.82,54%,4.80,,0.23,100%,84%,0.0
Azat Maksum,http://ufcstats.com/fighter-details/7f1bf0c255ec8756,"5' 7""",125 lbs.,"70""",Southpaw,"Feb 02, 1995",15-2-0,3.24,28%,5.00,,2.33,28%,85%,0.3
Terrance McKinney,http://ufcstats.com/fighter-details/809bd1a871491508,"5' 10""",155 lbs.,"73""",Switch,"Sep 15, 1994",17-7-0,5.78,56%,2.58,,3.59,40%,77%,2.2
Charles Johnson,http://ufcstats.com/fighter-details/814e5233e2acf2ee,"5' 9""",125 lbs.,"70""",Switch,"Jan 10, 1991",18-7-0,4.73,49%,3.78,,0.56,20%,66%,0.4
Dan Ige,http://ufcstats.com/fighter-details/82a5152216251682,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",19-10-0,3.64,45%,3.56,,0.89,25%,56%,0.2
Rafael Estevam,http://ufcstats.com/fighter-details/83455a9d17f57dae,"5' 8""",125 lbs.,"69""",Orthodox,"Aug 10, 1996",14-0-0,2.10,54%,2.59,,6.01,38%,66%,0.3
Mateusz Rebecki,http://ufcstats.com/fighter-details/849c5d9979df5357,"5' 7""",155 lbs.,"66""",Southpaw,"Nov 03, 1992",20-3-0,5.29,46%,4.53,,3.46,65%,50%,0.6
Neil Magny,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",30-14-0,3.45,46%,2.47,,2.15,39%,55%,0.2
Kai Kara-France,http://ufcstats.com/fighter-details/853eb0dd5c0e2149,"5' 4""",125 lbs.,"69""",Orthodox,"Mar 26, 1993",25-12-0 (1 NC),4.46,40%,3.24,,0.56,30%,83%,0.0
Jacobe Smith,http://ufcstats.com/fighter-details/85497ffd934ecf7e,"5' 10""",170 lbs.,"72""",Southpaw,"Jan 17, 1996",11-0-0,6.21,66%,2.86,,7.42,90%,100%,0.8
Kennedy Nzechukwu,http://ufcstats.com/fighter-details/8667caa0451d245b,"6' 5""",236 lbs.,"83""",Southpaw,"Jun 13, 1992",14-6-0,5.33,46%,4.89,,0.55,45%,80%,0.2
Xiao Long,http://ufcstats.com/fighter-details/86bace9e4ad85542,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 13, 1998",27-10-0,5.25,46%,4.20,,0.69,25%,79%,0.0
Jose Ochoa,http://ufcstats.com/fighter-details/88be62d6c1e6dadb,"5' 7""",125 lbs.,"67""",Southpaw,"Dec 31, 2000",8-2-0 (1 NC),3.01,37%,2.33,,0.43,50%,59%,1.3
Daniel Rodriguez,http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6,"6' 1""",170 lbs.,"74""",Southpaw,"Dec 31, 1986",20-5-0,7.20,49%,5.40,,0.51,50%,64%,0.1
Zhang Mingyang,http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7,"6' 2""",205 lbs.,"75""",Orthodox,"Aug 16, 1998",19-7-0,7.71,60%,5.33,,0.00,0%,75%,0.0
Elizeu Zaleski dos Santos,http://ufcstats.com/fighter-details/8adcbd525fab8d9b,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986",25-10-1,4.16,41%,3.56,,0.79,20%,67%,0.4
Ketlen Souza,http://ufcstats.com/fighter-details/8bd4200561c77a62,"5' 3""",115 lbs.,"63""",Orthodox,"Aug 18, 1994",15-6-0,4.56,57%,4.40,,0.30,14%,50%,0.3
Maheshate,http://ufcstats.com/fighter-details/8c1ca54b5089d199,"6' 0""",155 lbs.,"71""",Orthodox,"Dec 01, 1999",10-5-0,3.96,31%,5.96,,0.00,0%,47%,0.0
Muhammad Naimov,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,"5' 9""",145 lbs.,"70""",Orthodox,"Aug 07, 1994",13-3-0,2.61,40%,3.45,,1.69,36%,67%,0.2
Asu Almabayev,http://ufcstats.com/fighter-details/8d3273573b85be09,"5' 4""",125 lbs.,"65""",Orthodox,"Jan 25, 1994",22-3-0,2.16,54%,1.75,,4.66,43%,50%,1.5
Loopy Godinez,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 06, 1993",14-5-0,4.51,49%,4.03,,2.96,41%,81%,0.9
