fighter_url,fight_url,referee,significant_strikes_landed,significant_strikes_attempted,significant_strike_accuracy,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,takedown_accuracy,knockdowns,submission_attempts,reversals,control_time_seconds,significant_strike_accuracy_opponent
d6c0cdd7e467c440,130e622d4d2aee3e,Marc Goddard,5,8,0.62,5,8,0,0,0,0,1,1,0,0,4,7,7,12,0,0,,1,0,0,7,0.62
3f11fd1751fa83b1,f0b7caa90faf47e5,Herb Dean,13,18,0.72,10,15,0,0,3,3,9,12,2,3,2,3,17,23,0,0,,2,0,0,6,0.72
7b3503352cd53abb,f0b7caa90faf47e5,Herb Dean,0,2,0.0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,,0,0,0,0,0.0
86bace9e4ad85542,2f6065fe0804d1d8,Jim Perdios,68,214,0.31,53,169,7,21,8,24,38,173,30,41,0,0,81,229,0,0,,0,0,0,20,0.31
a474aade8eb3a8f0,2f6065fe0804d1d8,Jim Perdios,58,110,0.52,44,94,10,11,4,5,47,95,11,15,0,0,66,120,0,6,0.0,0,0,0,7,0.52
02f484417a6fa69d,7fc5f1dc2df84ac7,Vitor Ribeiro,2,9,0.22,1,4,0,4,1,1,2,8,0,0,0,1,3,10,0,0,,1,2,1,70,0.22
709fadb644ee3f51,7fc5f1dc2df84ac7,Vitor Ribeiro,7,11,0.63,1,3,3,5,3,3,7,11,0,0,0,0,13,19,1,1,1.0,0,0,0,18,0.63
0d7b51c9d2649a6e,12cedec11b37ddc0,Marc Goddard,13,29,0.44,10,24,2,4,1,1,10,25,0,0,3,4,45,68,1,1,1.0,0,1,0,53,0.44
767755fd74662dbf,12cedec11b37ddc0,Marc Goddard,37,47,0.78,28,36,3,5,6,6,12,19,0,0,25,28,529,567,12,17,0.7,0,0,0,1300,0.78
396fe87b84ac2e1c,9fa6a029f7f8241c,Herb Dean,8,16,0.5,4,9,4,6,0,1,6,14,1,1,1,1,8,16,0,0,,1,1,0,0,0.5
5537efc6e496dd84,9fa6a029f7f8241c,Herb Dean,13,29,0.44,7,23,5,5,1,1,7,21,3,5,3,3,13,30,2,3,0.66,0,0,0,121,0.44
b997be68943010fc,42585ce706c086de,Jason Herzog,25,49,0.51,16,38,4,6,5,5,23,45,2,4,0,0,26,50,0,1,0.0,0,0,0,15,0.51
7ee0fd831c0fe7c3,42585ce706c086de,Jason Herzog,32,60,0.53,17,45,8,8,7,7,32,58,0,2,0,0,32,60,0,0,,1,0,0,0,0.53
13a0275fa13c4d26,9939d7073462e07e,Marc Goddard,20,57,0.35,10,45,4,6,6,6,11,45,3,4,6,8,46,88,2,7,0.28,0,0,0,494,0.35
a67d071163962af8,9939d7073462e07e,Marc Goddard,29,55,0.52,19,45,8,8,2,2,27,53,2,2,0,0,36,64,0,1,0.0,0,0,0,1,0.52
c96d9178c9ed9e62,82338ba457fbe87f,Robert Madrigal,27,71,0.38,18,43,2,18,7,10,26,69,0,0,1,2,42,88,2,3,0.66,0,2,0,114,0.38
d33da8a3d82bdb62,82338ba457fbe87f,Robert Madrigal,21,87,0.24,17,79,3,7,1,1,21,87,0,0,0,0,38,104,0,0,,0,0,0,1,0.24
d1feea7a4bdcd503,5efd13a12be06706,Jason Herzog,36,62,0.58,23,46,7,10,6,6,22,42,2,3,12,17,59,89,2,7,0.28,0,1,0,199,0.58
64b12fe31be7560c,5efd13a12be06706,Jason Herzog,22,56,0.39,17,51,5,5,0,0,18,47,4,9,0,0,24,58,0,1,0.0,0,0,0,17,0.39
6ac9bc2953c47345,5b880d10b0ed7acc,Herb Dean,3,16,0.18,2,14,0,0,1,2,3,16,0,0,0,0,3,16,0,3,0.0,0,0,0,0,0.18
0d65c432720accb9,5b880d10b0ed7acc,Herb Dean,23,51,0.45,18,46,5,5,0,0,11,31,0,0,12,20,23,51,0,0,,1,0,0,22,0.45
6a1901c62ab3870f,a2eafd9e1d5031b1,Nick Cimmarusti,90,287,0.31,58,242,21,31,11,14,87,279,3,8,0,0,97,297,0,1,0.0,0,0,0,17,0.31
8e5d953bdb9ae5e7,a2eafd9e1d5031b1,Nick Cimmarusti,107,213,0.5,91,195,12,14,4,4,94,195,11,16,2,2,119,226,1,14,0.07,0,0,0,93,0.5
971246648e162f0d,1d8dc0fb5d47357f,Jason Herzog,20,82,0.24,7,62,7,12,6,8,20,81,0,1,0,0,20,82,0,2,0.0,0,0,0,5,0.24
262a7d06203657e6,1d8dc0fb5d47357f,Jason Herzog,17,38,0.44,14,35,3,3,0,0,13,33,0,0,4,5,18,39,0,0,,1,0,0,2,0.44
64a50dad704d1d49,bc63f1b2e52f603e,Marc Goddard,71,120,0.59,26,64,32,38,13,18,57,105,14,15,0,0,73,122,0,0,,0,0,0,230,0.59
7cbf7c78d3b34218,bc63f1b2e52f603e,Marc Goddard,53,102,0.51,35,78,6,9,12,15,43,89,10,13,0,0,147,209,0,2,0.0,0,0,0,153,0.51
9d62c2d8ee151f08,88020d22cf905792,Robert Madrigal,26,70,0.37,11,50,9,14,6,6,22,66,4,4,0,0,90,154,1,3,0.33,0,2,1,143,0.37
27b388f0aab49780,88020d22cf905792,Robert Madrigal,31,87,0.35,11,62,15,19,5,6,26,80,4,5,1,2,67,132,3,4,0.75,0,1,1,318,0.35
30cad5a751adcb48,68c423c7119004f3,Nick Cimmarusti,28,56,0.5,9,35,17,19,2,2,22,48,6,8,0,0,50,82,0,1,0.0,0,0,1,64,0.5
2fe9032955c2e013,68c423c7119004f3,Nick Cimmarusti,29,63,0.46,15,44,13,18,1,1,18,47,9,12,2,4,44,86,2,5,0.4,0,2,0,218,0.46
327d5f279895110d,68fe62bac7fd8bb0,Herb Dean,36,107,0.33,25,88,4,11,7,8,34,101,2,6,0,0,39,110,0,1,0.0,0,0,0,45,0.33
093e1f5bb73850be,68fe62bac7fd8bb0,Herb Dean,91,152,0.59,67,128,6,6,18,18,48,102,13,18,30,32,120,187,9,11,0.81,0,1,0,468,0.59
32ab52e5de93092d,37d58369782cb86b,Mark Smith,20,53,0.37,10,42,10,11,0,0,12,43,6,8,2,2,39,82,3,10,0.3,0,1,0,287,0.37
6d68c1afe954f121,37d58369782cb86b,Mark Smith,35,74,0.47,20,53,4,7,11,14,29,68,1,1,5,5,47,89,1,2,0.5,0,0,1,69,0.47
abcf2cc6efc42031,646c79a7ecd12e5f,Chris Tognoni,72,151,0.47,56,128,12,19,4,4,57,130,11,17,4,4,100,187,3,7,0.42,0,0,0,337,0.47
f0feeb2192937424,646c79a7ecd12e5f,Chris Tognoni,64,110,0.58,42,84,19,23,3,3,52,92,12,18,0,0,80,129,0,5,0.0,0,1,0,79,0.58
8fd808923cffff82,98d6771af9b0ebe5,Mike Beltran,64,182,0.35,52,164,6,10,6,8,62,179,2,3,0,0,74,193,3,5,0.6,0,0,0,102,0.35
5ec591b78349ba7e,98d6771af9b0ebe5,Mike Beltran,83,174,0.47,49,130,8,13,26,31,69,157,13,16,1,1,95,190,1,7,0.14,0,0,0,95,0.47
46e0d677f91bacc0,ed5383b50ffcdded,Herb Dean,83,184,0.45,70,170,12,13,1,1,78,175,5,8,0,1,89,191,5,8,0.62,0,0,0,192,0.45
ffd3224638c01b57,ed5383b50ffcdded,Herb Dean,95,233,0.4,49,160,27,38,19,35,87,224,8,9,0,0,109,249,0,3,0.0,0,2,1,56,0.4
cad24459b28592ca,75a84211f50c53f5,Mark Smith,7,12,0.58,2,7,4,4,1,1,4,9,3,3,0,0,18,24,1,3,0.33,0,0,0,78,0.58
a93f94c923c3a9cb,75a84211f50c53f5,Mark Smith,24,43,0.55,9,26,3,4,12,13,20,37,3,3,1,3,27,46,0,0,,1,0,0,39,0.55
6add18754930182b,3d6571790c21527c,Mike Beltran,44,62,0.7,26,43,9,10,9,9,18,26,4,9,22,27,96,120,6,10,0.6,1,0,0,706,0.7
09a4447655fd4b7b,3d6571790c21527c,Mike Beltran,19,42,0.45,15,37,0,1,4,4,19,42,0,0,0,0,30,54,0,0,,0,0,0,27,0.45
7478b7f959ba61f5,ae7a8f19743e8154,Chris Tognoni,37,46,0.8,35,44,2,2,0,0,1,3,0,0,36,43,61,74,0,0,,0,0,1,229,0.8
148bb103cfbf123e,ae7a8f19743e8154,Chris Tognoni,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1.0,0,1,1,5,
f9ab66e67240db7b,aef44145740741b3,Herb Dean,26,44,0.59,16,29,5,10,5,5,24,42,0,0,2,2,26,44,0,2,0.0,1,0,0,1,0.59
b1e5bcaad32a3cac,aef44145740741b3,Herb Dean,18,50,0.36,15,47,1,1,2,2,18,50,0,0,0,0,18,50,0,0,,0,0,0,0,0.36
681399317dbf4701,7d923267c44dd93b,Mark Smith,5,9,0.55,4,8,1,1,0,0,3,7,1,1,1,1,6,10,0,0,,1,0,0,1,0.55
b12fb759e02378de,7d923267c44dd93b,Mark Smith,5,10,0.5,3,7,1,2,1,1,5,10,0,0,0,0,5,10,0,0,,1,0,0,2,0.5
a6eb54ae17a551be,6ef50ed03b116b60,Mike Beltran,59,114,0.51,38,91,15,17,6,6,58,112,1,2,0,0,59,114,0,0,,0,0,0,0,0.51
a78a87d8c2bbb1cb,6ef50ed03b116b60,Mike Beltran,61,161,0.37,28,117,13,20,20,24,56,154,5,7,0,0,64,167,0,6,0.0,0,0,0,74,0.37
f14f644d41ade29f,857e8facd8ff7c36,Chris Tognoni,31,65,0.47,26,57,3,5,2,3,19,45,12,20,0,0,43,78,3,7,0.42,0,0,0,328,0.47
9508cc6184cb2450,857e8facd8ff7c36,Chris Tognoni,26,72,0.36,18,58,7,13,1,1,16,53,10,19,0,0,54,102,0,0,,0,0,0,192,0.36
4461d7e47375a895,282c8c6c1ed82bfb,Mark Smith,7,11,0.63,6,10,0,0,1,1,4,7,0,0,3,4,13,20,4,5,0.8,1,1,0,281,0.63
b671bdf981ad527d,282c8c6c1ed82bfb,Mark Smith,3,9,0.33,1,6,0,0,2,3,2,7,0,1,1,1,15,21,0,0,,0,0,0,0,0.33
849c5d9979df5357,426a69e343822ab3,Kerry Hatley,114,267,0.42,88,235,7,13,19,19,104,256,10,11,0,0,123,278,2,6,0.33,0,0,0,83,0.42
fd406a32a6fb3a29,426a69e343822ab3,Kerry Hatley,92,222,0.41,67,181,20,35,5,6,85,214,7,8,0,0,95,225,0,1,0.0,0,0,0,27,0.41
48a9a128784d53d1,878941394f9e3538,Chris Tognoni,118,250,0.47,88,211,15,23,15,16,118,248,0,2,0,0,123,256,0,9,0.0,0,0,0,0,0.47
323d4ca260dfa0ba,878941394f9e3538,Chris Tognoni,122,281,0.43,86,233,23,29,13,19,114,268,0,0,8,13,123,284,0,0,,0,0,0,62,0.43
351c4ec637380ad5,c62ed8a6002b5360,Kerry Hatley,33,58,0.56,25,47,6,8,2,3,14,35,6,6,13,17,190,224,2,3,0.66,0,2,0,685,0.56
f2b3f4ef3f780168,c62ed8a6002b5360,Kerry Hatley,27,47,0.57,15,33,4,4,8,10,17,36,10,11,0,0,75,98,0,0,,0,0,0,0,0.57
84b3e7d38f2d2ec5,ac57250e3de89d5d,Mark Smith,42,67,0.62,38,61,4,4,0,2,19,43,3,3,20,21,80,113,2,3,0.66,0,0,0,79,0.62
8adcbd525fab8d9b,ac57250e3de89d5d,Mark Smith,20,42,0.47,5,24,4,5,11,13,17,38,3,4,0,0,42,69,1,5,0.2,0,0,0,280,0.47
d964a59c48381cb6,111e66eb922449e4,Chris Tognoni,69,164,0.42,51,135,12,17,6,12,68,160,1,4,0,0,73,168,1,9,0.11,0,0,0,22,0.42
239d8e5359022f3b,111e66eb922449e4,Chris Tognoni,90,229,0.39,60,184,27,41,3,4,81,217,9,12,0,0,90,230,2,5,0.4,0,0,0,74,0.39
d8c811df0386d5e8,eeeffa7f514e0c0e,Kerry Hatley,12,19,0.63,6,13,4,4,2,2,8,15,0,0,4,4,12,19,0,0,,1,0,0,2,0.63
a2d342ffc83913ed,eeeffa7f514e0c0e,Kerry Hatley,3,7,0.42,0,1,1,1,2,5,3,7,0,0,0,0,3,7,0,0,,0,0,0,0,0.42
260e9e0d4954aea6,45781930d64da456,Mark Smith,89,159,0.55,51,118,22,25,16,16,87,155,2,4,0,0,96,169,1,14,0.07,0,0,0,194,0.55
147e70aa6cc48cfc,45781930d64da456,Mark Smith,41,114,0.35,22,88,4,10,15,16,41,114,0,0,0,0,50,125,0,0,,0,0,0,2,0.35
7eaa5e31c2dd86aa,b3c695728e177fd4,Chris Tognoni,10,21,0.47,5,13,5,8,0,0,3,11,7,10,0,0,19,33,4,7,0.57,0,1,0,285,0.47
22e07d3da1aa3475,b3c695728e177fd4,Chris Tognoni,23,31,0.74,15,22,8,9,0,0,12,18,9,11,2,2,30,38,0,0,,1,0,0,2,0.74
d3f89fa685bd8420,07c2af68b6dbc4ec,Mark Smith,2,7,0.28,2,7,0,0,0,0,2,6,0,0,0,1,48,67,1,1,1.0,0,1,0,173,0.28
450bcab0968562c4,07c2af68b6dbc4ec,Mark Smith,0,5,0.0,0,4,0,1,0,0,0,5,0,0,0,0,2,9,0,0,,0,0,0,0,0.0
83455a9d17f57dae,b47db03affb279c3,Kerry Hatley,33,70,0.47,22,50,5,14,6,6,25,57,1,1,7,12,128,204,5,9,0.55,0,0,0,642,0.47
53c10176e3bc7416,b47db03affb279c3,Kerry Hatley,26,56,0.46,15,39,5,11,6,6,25,54,1,2,0,0,38,75,0,1,0.0,0,2,0,3,0.46
e375cb5caf4717b6,d98d6b2c13557a87,Chris Tognoni,64,150,0.42,28,92,23,37,13,21,48,126,16,24,0,0,81,171,7,10,0.7,0,0,0,276,0.42
8bd4200561c77a62,d98d6b2c13557a87,Chris Tognoni,56,103,0.54,29,72,10,13,17,18,48,92,8,11,0,0,86,139,0,3,0.0,0,0,0,101,0.54
e1147d3d2dabe1ce,6b8be0ee3e569ad2,Marc Goddard,66,142,0.46,62,135,4,7,0,0,51,123,4,5,11,14,70,146,0,0,,1,0,0,36,0.46
d549cefc7c54ab78,6b8be0ee3e569ad2,Marc Goddard,67,145,0.46,41,105,26,40,0,0,54,128,9,11,4,6,192,282,2,15,0.13,0,0,0,546,0.46
d661ce4da776fc20,d4d4ee045b0ca695,Daniel Movahedi,81,146,0.55,63,122,10,12,8,12,58,114,23,32,0,0,130,202,1,3,0.33,0,0,0,191,0.55
c0ac37a4a1133da9,d4d4ee045b0ca695,Daniel Movahedi,64,170,0.37,44,128,8,18,12,24,62,165,2,5,0,0,66,173,0,4,0.0,0,0,0,30,0.37
06734ca9d88dec3a,582d66ce97309e29,Jim Perdios,93,142,0.65,42,82,27,33,24,27,58,93,30,39,5,10,103,153,0,1,0.0,0,0,0,57,0.65
8e9eb3fc86db0f7d,582d66ce97309e29,Jim Perdios,39,77,0.5,24,54,13,19,2,4,21,56,18,21,0,0,60,100,2,6,0.33,0,0,0,270,0.5
8d3273573b85be09,887c61da1a78a5e1,Jason Herzog,22,42,0.52,12,26,5,11,5,5,13,20,3,6,6,16,55,90,7,16,0.43,0,2,0,566,0.52
88be62d6c1e6dadb,887c61da1a78a5e1,Jason Herzog,26,45,0.57,8,19,13,18,5,8,17,33,9,12,0,0,118,151,1,1,1.0,0,2,0,56,0.57
1091d4d957141094,77f960d82cda0b76,Marc Goddard,16,34,0.47,6,20,3,5,7,9,16,34,0,0,0,0,16,34,0,0,,0,0,0,0,0.47
ef5dcb10d2bd4b0f,77f960d82cda0b76,Marc Goddard,23,43,0.53,20,40,1,1,2,2,11,26,0,0,12,17,28,48,0,0,,1,0,0,17,0.53
d9c6f19f958643e9,e72c691b7c68b03a,Jim Perdios,13,20,0.65,3,6,7,11,3,3,5,11,8,9,0,0,39,51,3,9,0.33,0,0,1,584,0.65
0fd5f4b838e890cc,e72c691b7c68b03a,Jim Perdios,20,32,0.62,13,24,5,5,2,3,13,19,1,3,6,10,100,126,0,0,,1,1,2,193,0.62
447f9858ae78f921,7c075e3383198e14,Daniel Movahedi,3,9,0.33,1,4,1,4,1,1,3,9,0,0,0,0,3,9,0,0,,1,0,0,0,0.33
28d421729451c8ca,7c075e3383198e14,Daniel Movahedi,5,9,0.55,5,9,0,0,0,0,5,8,0,1,0,0,5,9,0,0,,0,0,0,0,0.55
113df4fde64735c6,017a825c7820d12e,Jason Herzog,66,130,0.5,17,67,27,39,22,24,65,128,1,1,0,1,66,133,0,0,,0,0,0,19,0.5
da22387a0407a2dc,017a825c7820d12e,Jason Herzog,33,74,0.44,12,45,7,13,14,16,31,72,1,1,1,1,36,78,1,5,0.2,0,1,0,232,0.44
beecb672a279223e,3e6067763978d862,Daniel Movahedi,30,72,0.41,18,57,5,6,7,9,29,68,1,4,0,0,77,122,1,3,0.33,0,0,0,18,0.41
d25240135aee03e5,3e6067763978d862,Daniel Movahedi,34,76,0.44,23,60,6,10,5,6,20,61,4,5,10,10,82,140,1,4,0.25,0,0,0,251,0.44
6e8f1bcdda94ff45,f9dac7702609669f,Jim Perdios,28,78,0.35,10,57,8,10,10,11,28,78,0,0,0,0,29,80,0,0,,0,0,0,0,0.35
07a74004d964c7f4,f9dac7702609669f,Jim Perdios,35,68,0.51,18,46,17,21,0,1,35,68,0,0,0,0,35,68,0,3,0.0,0,0,0,0,0.51
3753714927f18437,23ddf51ce630028d,Jason Herzog,57,151,0.37,41,126,14,21,2,4,57,151,0,0,0,0,60,154,0,4,0.0,0,0,0,5,0.37
69037fc7730e4225,23ddf51ce630028d,Jason Herzog,92,174,0.52,76,156,4,4,12,14,50,111,7,7,35,56,108,194,0,0,,6,0,0,163,0.52
8eb046f83e82bf26,0a598768f5c8d540,Jim Perdios,41,86,0.47,30,74,5,5,6,7,36,74,4,6,1,6,92,150,0,0,,0,0,2,171,0.47
095854a135e6db55,0a598768f5c8d540,Jim Perdios,24,60,0.4,14,46,10,14,0,0,16,50,6,8,2,2,80,140,1,11,0.09,0,0,1,305,0.4
150ff4cc642270b9,d7507e2741fd4d05,Jason Herzog,198,375,0.52,103,253,64,80,31,42,182,351,0,1,16,23,201,378,0,0,,1,0,0,92,0.52
029eaff01e6bb8f0,d7507e2741fd4d05,Jason Herzog,109,255,0.42,94,235,6,10,9,10,102,243,3,6,4,6,109,255,0,1,0.0,1,1,0,12,0.42
2e5c2aa8e4ab9d82,23c963be9de38205,Herb Dean,99,159,0.62,34,89,41,46,24,24,87,141,3,3,9,15,102,162,0,2,0.0,1,0,0,13,0.62
9d83f6da776ff7d6,23c963be9de38205,Herb Dean,48,104,0.46,29,79,14,20,5,5,48,104,0,0,0,0,48,104,0,0,,0,0,0,0,0.46
3a46b268013afede,5dde61734080ac4a,Mike Beltran,82,173,0.47,53,126,13,22,16,25,60,137,17,27,5,9,111,207,1,4,0.25,1,0,0,127,0.47
8a1f3b5c526cd6e6,5dde61734080ac4a,Mike Beltran,77,149,0.51,49,106,13,26,15,17,54,107,6,7,17,35,111,189,0,1,0.0,2,0,0,214,0.51
82a5152216251682,acc961fd5cf5c62e,Dan Miragliotta,47,124,0.37,24,93,15,23,8,8,38,109,3,5,6,10,59,145,0,0,,0,0,0,8,0.37
98a58c26c5b1ed17,acc961fd5cf5c62e,Dan Miragliotta,55,97,0.56,42,82,9,10,4,5,42,82,9,11,4,4,71,114,5,9,0.55,0,0,0,164,0.56
511e82663651438d,a95b03e9b5a91e47,Kerry Hatley,80,195,0.41,27,100,42,81,11,14,77,189,0,0,3,6,81,196,0,1,0.0,1,0,0,22,0.41
4148802ae4a50768,a95b03e9b5a91e47,Kerry Hatley,52,182,0.28,19,125,27,48,6,9,50,180,1,1,1,1,52,182,0,0,,0,0,0,8,0.28
60425d07ef4b91a7,d2cb92fdf6a497e9,Chris Hill,49,151,0.32,33,126,13,22,3,3,49,151,0,0,0,0,54,156,0,5,0.0,0,0,0,9,0.32
18d01f7f8338ae72,d2cb92fdf6a497e9,Chris Hill,96,232,0.41,52,161,26,50,18,21,79,207,5,7,12,18,102,238,1,4,0.25,1,0,0,140,0.41
7acbb0972e75281a,8e1feda9141602f1,Bassel Mahgoub,109,253,0.43,98,239,5,7,6,7,99,240,4,5,6,8,115,262,0,0,,0,0,1,77,0.43
2f181c0467965b98,8e1feda9141602f1,Bassel Mahgoub,111,224,0.49,86,194,18,23,7,7,100,210,4,4,7,10,119,233,3,4,0.75,0,0,0,87,0.49
3920d0cc288f9b0d,df2ed8b509fbdbdc,Jason Herzog,47,77,0.61,34,58,5,11,8,8,34,62,5,5,8,10,64,94,3,10,0.3,0,1,0,409,0.61
0f1efce7d2571d10,df2ed8b509fbdbdc,Jason Herzog,56,105,0.53,32,78,21,24,3,3,34,75,15,17,7,13,84,133,2,6,0.33,0,0,1,153,0.53
2f815ed5f8278ba6,72e477b41f44e358,Herb Dean,19,37,0.51,16,34,3,3,0,0,16,33,1,1,2,3,19,37,0,0,,1,0,0,1,0.51
0cd0456d6029cec2,72e477b41f44e358,Herb Dean,2,5,0.4,1,3,0,1,1,1,2,5,0,0,0,0,2,5,0,0,,0,0,0,0,0.4
a01a62132460a98d,37bc72d5d211b189,Mike Beltran,14,27,0.51,5,16,2,4,7,7,13,23,1,4,0,0,16,29,0,3,0.0,0,0,0,59,0.51
e803242fb2e41112,37bc72d5d211b189,Mike Beltran,21,41,0.51,17,37,3,3,1,1,16,35,2,3,3,3,23,44,0,0,,1,0,0,2,0.51
70e1f8a821b72c8b,798652dbea086910,Dan Miragliotta,5,18,0.27,5,18,0,0,0,0,4,17,0,0,1,1,11,27,3,6,0.5,0,2,0,138,0.27
6370c1c1e12723d5,798652dbea086910,Dan Miragliotta,21,36,0.58,7,21,9,10,5,5,13,28,6,6,2,2,37,54,0,0,,0,0,0,8,0.58
a67f5afa8d6a1b80,182ee320edb1b5ed,Chris Hill,8,19,0.42,8,19,0,0,0,0,2,10,0,0,6,9,8,19,1,1,1.0,0,2,0,134,0.42
0c25d0a5e8cdbf19,182ee320edb1b5ed,Chris Hill,5,8,0.62,1,4,0,0,4,4,5,8,0,0,0,0,23,28,0,0,,0,0,0,0,0.62
1e719d4b676dc19a,74099d470e8d2765,Kerry Hatley,7,9,0.77,4,5,1,2,2,2,6,8,0,0,1,1,9,11,1,1,1.0,0,1,0,67,0.77
3eeec2f53cebdf12,74099d470e8d2765,Kerry Hatley,4,15,0.26,3,13,1,2,0,0,4,15,0,0,0,0,4,15,0,1,0.0,0,0,0,8,0.26
f1ab6f37492c630a,a602c68147b752b2,Bassel Mahgoub,109,225,0.48,85,193,24,32,0,0,96,210,10,12,3,3,117,235,0,0,,1,0,0,78,0.48
fc0a4053eb8a3a59,a602c68147b752b2,Bassel Mahgoub,32,101,0.31,26,85,3,12,3,4,30,98,2,3,0,0,35,104,1,8,0.12,0,0,0,60,0.31
d3df1add9d9a7efb,0adfc21045c02555,Jason Herzog,9,17,0.52,8,16,1,1,0,0,2,6,1,2,6,9,10,21,0,0,,1,0,0,12,0.52
17923f676f100e16,0adfc21045c02555,Jason Herzog,3,5,0.6,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,,0,0,0,0,0.6
4a28cb716c19157a,2a03bc4c491b4c9a,Blake Grice,42,92,0.45,21,61,14,20,7,11,37,83,3,5,2,4,78,135,0,2,0.0,0,0,1,28,0.45
01641ba5df0c69b0,2a03bc4c491b4c9a,Blake Grice,40,72,0.55,12,36,5,6,23,30,34,65,6,7,0,0,55,93,5,14,0.35,0,0,0,329,0.55
751de04455cfaac0,f368475c366c6d85,Jason Herzog,26,123,0.21,21,116,3,5,2,2,26,123,0,0,0,0,26,123,0,0,,0,0,0,21,0.21
97cf1a2c7c5e7889,f368475c366c6d85,Jason Herzog,85,250,0.34,52,208,23,29,10,13,85,249,0,0,0,1,85,250,0,0,,1,0,0,3,0.34
583ee11abddfc581,4e5d4a36eaaa3a78,Blake Grice,63,155,0.4,54,142,7,9,2,4,63,153,0,2,0,0,65,158,0,0,,0,0,0,22,0.4
5b03b61f9d90125e,4e5d4a36eaaa3a78,Blake Grice,67,131,0.51,41,100,12,14,14,17,64,124,2,3,1,4,67,131,2,5,0.4,1,0,0,63,0.51
