fighter_name,fighter_url,height_cm,weight_kg,reach_cm,stance,dob,age,wins,losses,draws,nc,total_fights,reach_to_height_ratio,record,significant_strikes_landed_per_minute,significant_strike_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defense,takedown_average_per_15_min,takedown_accuracy,takedown_defense,submission_average_per_15_min
Rafael Cerqueira,09a4447655fd4b7b,190,93,193,Southpaw,1990-03-15,35,11.0,3.0,0.0,,14,1.0157894736842106,11-3-0,1.61,44.0,4.88,,0.0,0.0,40.0,0.0
Jack Hermansson,0a1942069c9ad6b6,185,84,196,Orthodox,1988-06-10,37,24.0,9.0,0.0,,33,1.0594594594594595,24-9-0,5.13,45.0,3.7,,1.5,29.0,80.0,0.4
Lukasz Brzeski,0c25d0a5e8cdbf19,190,107,198,Orthodox,1992-05-17,33,9.0,7.0,1.0,1.0,18,1.0421052631578946,9-7-1 (1 NC),4.9,50.0,3.65,,0.41,33.0,35.0,0.4
Robert Valentin,0cd0456d6029cec2,188,84,196,Orthodox,1995-03-31,30,11.0,6.0,0.0,1.0,18,1.0425531914893618,11-6-0 (1 NC),1.13,56.0,2.83,,0.0,0.0,55.0,1.3
Michal Oleksiejczuk,0d65c432720accb9,183,84,188,Southpaw,1995-02-22,30,21.0,9.0,0.0,1.0,31,1.0273224043715847,21-9-0 (1 NC),5.34,51.0,4.41,,1.02,43.0,52.0,0.0
Dricus Du Plessis,0d7b51c9d2649a6e,185,84,193,Switch,1994-01-14,31,23.0,3.0,0.0,,26,1.0432432432432432,23-3-0,5.18,48.0,4.33,,2.22,51.0,34.0,0.7
Nikolay Veretennikov,0f1efce7d2571d10,185,77,188,Orthodox,1989-12-22,35,13.0,6.0,0.0,,19,1.0162162162162163,13-6-0,3.01,55.0,3.43,,0.55,18.0,62.0,0.0
Said Nurmagomedov,0fd5f4b838e890cc,173,61,178,Orthodox,1992-04-05,33,18.0,5.0,0.0,,23,1.0289017341040463,18-5-0,3.08,48.0,2.05,,0.86,15.0,63.0,1.1
Irina Alekseeva,103e2e33a60683e1,173,61,170,Orthodox,1990-06-27,35,5.0,3.0,0.0,,8,0.9826589595375722,5-3-0,4.01,39.0,5.03,,0.47,20.0,66.0,0.5
Nikita Krylov,1091d4d957141094,190,93,196,Orthodox,1992-03-07,33,30.0,11.0,0.0,,41,1.0315789473684212,30-11-0,4.31,54.0,2.58,,2.17,38.0,53.0,1.4
Davey Grant,113df4fde64735c6,173,61,175,Orthodox,1985-12-18,39,17.0,7.0,0.0,,24,1.0115606936416186,17-7-0,5.18,44.0,3.74,,1.04,40.0,63.0,0.2
Jared Cannonier,13a0275fa13c4d26,180,84,196,Switch,1984-03-16,41,18.0,9.0,0.0,,27,1.0888888888888888,18-9-0,4.42,49.0,4.35,,0.54,40.0,64.0,0.0
Tresean Gore,147e70aa6cc48cfc,183,84,190,Switch,1994-06-21,31,6.0,4.0,0.0,,10,1.0382513661202186,6-4-0,2.76,42.0,7.48,,1.83,75.0,88.0,0.9
Toshiomi Kazama,148bb103cfbf123e,170,61,175,Orthodox,1997-05-15,28,11.0,5.0,0.0,,16,1.0294117647058822,11-5-0,1.49,53.0,4.56,,1.94,16.0,66.0,1.0
Max Holloway,150ff4cc642270b9,180,66,175,Orthodox,1991-12-04,33,27.0,8.0,0.0,,35,0.9722222222222222,27-8-0,7.2,48.0,4.74,,0.24,53.0,83.0,0.3
Tallison Teixeira,17923f676f100e16,201,117,211,Orthodox,1999-12-07,25,8.0,1.0,0.0,,9,1.0497512437810945,8-1-0,12.83,59.0,8.98,,0.0,0.0,0.0,0.0
Joshua Van,17e97649403ba428,165,57,165,Orthodox,2001-10-10,23,15.0,2.0,0.0,,17,1.0,15-2-0,8.86,56.0,6.36,,0.85,63.0,81.0,0.0
Vinicius Oliveira,18d01f7f8338ae72,175,61,178,Switch,1995-11-30,29,23.0,3.0,0.0,,26,1.0171428571428571,23-3-0,5.28,43.0,2.89,,1.67,50.0,80.0,0.2
Viacheslav Borshchev,19c591115a58982c,180,70,175,Orthodox,1992-01-08,33,8.0,6.0,1.0,,15,0.9722222222222222,8-6-1,5.22,54.0,4.73,,0.0,0.0,42.0,0.1
Brunno Ferreira,1e719d4b676dc19a,178,84,183,Orthodox,1992-11-04,32,14.0,2.0,0.0,,16,1.0280898876404494,14-2-0,3.41,50.0,3.34,,1.39,28.0,57.0,1.0
Andrey Pulyaev,22e07d3da1aa3475,193,84,198,Southpaw,1997-09-10,27,10.0,3.0,0.0,,13,1.0259067357512954,10-3-0,3.81,60.0,3.51,,0.41,16.0,64.0,0.0
Kevin Vallejos,239d8e5359022f3b,170,66,173,Switch,2001-12-08,23,16.0,1.0,0.0,,17,1.0176470588235293,16-1-0,6.28,45.0,5.23,,0.84,33.0,83.0,0.0
Jhonata Diniz,25f9a5f3e8a52618,193,115,201,Orthodox,1991-06-23,34,9.0,1.0,0.0,,10,1.0414507772020725,9-1-0,4.58,56.0,3.71,,0.0,0.0,78.0,0.0
Rodolfo Vieira,260e9e0d4954aea6,183,84,185,Orthodox,1989-09-25,35,11.0,3.0,0.0,,14,1.010928961748634,11-3-0,3.77,55.0,4.12,,3.09,23.0,100.0,1.0
Alexander Hernandez,262a7d06203657e6,175,70,183,Orthodox,1992-10-01,32,17.0,8.0,0.0,,25,1.0457142857142858,17-8-0,4.36,40.0,4.6,,1.2,36.0,73.0,0.1
Dione Barbosa,27b388f0aab49780,168,57,168,Orthodox,1992-05-08,33,8.0,4.0,0.0,,12,1.0,8-4-0,2.27,45.0,2.45,,2.23,42.0,50.0,1.9
JunYong Park,285ae0b4a68221f4,178,84,185,Orthodox,1991-02-27,34,19.0,6.0,0.0,,25,1.0393258426966292,19-6-0,4.59,50.0,3.59,,1.87,42.0,57.0,0.9
Carlos Leal,28d421729451c8ca,180,77,188,Orthodox,1994-05-04,31,22.0,7.0,0.0,,29,1.0444444444444445,22-7-0,9.57,50.0,7.61,,0.75,25.0,90.0,0.0
Paulo Costa,2e5c2aa8e4ab9d82,185,84,183,Orthodox,1991-04-21,34,15.0,4.0,0.0,,19,0.9891891891891892,15-4-0,6.26,58.0,6.2,,0.32,50.0,80.0,0.0
Brendan Allen,2f181c0467965b98,188,84,190,Orthodox,1995-12-28,29,25.0,7.0,0.0,,32,1.0106382978723405,25-7-0,3.85,53.0,3.96,,1.65,41.0,56.0,1.2
Ateba Gautier,2f815ed5f8278ba6,193,84,206,Switch,2002-04-10,23,8.0,1.0,0.0,,9,1.067357512953368,8-1-0,6.93,61.0,2.19,,0.0,0.0,90.0,0.0
Joseph Morales,2fe9032955c2e013,168,57,175,Switch,1994-08-22,31,14.0,2.0,0.0,,16,1.0416666666666667,14-2-0,2.02,40.0,2.11,,1.23,42.0,28.0,2.9
Alibi Idiris,30cad5a751adcb48,168,57,173,Orthodox,1994-10-22,30,11.0,1.0,0.0,,12,1.0297619047619047,11-1-0,3.47,50.0,3.6,,0.0,0.0,60.0,0.0
Esteban Ribovics,323d4ca260dfa0ba,178,70,175,Orthodox,1996-04-27,29,15.0,2.0,0.0,,17,0.9831460674157303,15-2-0,8.09,43.0,6.3,,0.39,66.0,70.0,0.2
Roman Dolidze,327d5f279895110d,188,84,193,Orthodox,1988-07-15,37,15.0,4.0,0.0,,19,1.0265957446808511,15-4-0,3.41,41.0,3.72,,0.99,39.0,26.0,0.8
Steve Erceg,32ab52e5de93092d,173,57,173,Orthodox,1995-07-27,30,13.0,4.0,0.0,,17,1.0,13-4-0,4.0,45.0,3.79,,1.15,27.0,62.0,0.4
Hamdy Abdelwahab,3329d692aea4dc28,188,120,183,Southpaw,1993-01-22,32,6.0,1.0,0.0,1.0,8,0.973404255319149,6-1-0 (1 NC),3.49,49.0,4.49,,1.33,66.0,100.0,0.0
Kevin Borjas,34b96d52db1d26e6,165,57,173,Orthodox,1997-12-06,27,10.0,4.0,0.0,,14,1.0484848484848486,10-4-0,4.19,44.0,5.74,,0.0,0.0,71.0,0.0
Karol Rosa,351c4ec637380ad5,165,61,170,Orthodox,1994-12-30,30,19.0,7.0,0.0,,26,1.0303030303030303,19-7-0,5.88,56.0,4.59,,1.17,48.0,70.0,0.2
Viviane Araujo,36541f1e6c5d4955,163,57,173,Orthodox,1986-11-21,38,13.0,7.0,0.0,,20,1.0613496932515338,13-7-0,3.84,47.0,4.83,,1.72,43.0,75.0,0.6
Mohammad Yahya,3753714927f18437,175,66,185,Switch,1994-05-23,31,12.0,6.0,0.0,,18,1.0571428571428572,12-6-0,3.5,39.0,6.39,,0.5,20.0,42.0,0.5
Nikolas Motta,37f560436d745c18,175,70,178,Orthodox,1993-02-08,32,15.0,6.0,0.0,1.0,22,1.0171428571428571,15-6-0 (1 NC),4.13,38.0,5.28,,0.0,0.0,83.0,0.0
Francisco Prado,3920d0cc288f9b0d,178,77,175,Orthodox,2002-06-16,23,12.0,4.0,0.0,,16,0.9831460674157303,12-4-0,4.09,43.0,4.95,,0.94,19.0,50.0,0.5
Lerone Murphy,396fe87b84ac2e1c,175,66,185,Orthodox,1991-07-22,34,17.0,0.0,1.0,,18,1.0571428571428572,17-0-1,4.48,53.0,2.51,,1.41,54.0,51.0,0.5
Kevin Holland,3a46b268013afede,190,77,206,Orthodox,1992-11-05,32,28.0,14.0,0.0,1.0,43,1.0842105263157895,28-14-0 (1 NC),4.3,50.0,3.22,,0.82,38.0,55.0,0.6
Sumudaerji,3cf18e01cb6cbde3,173,57,183,Southpaw,1996-01-20,29,18.0,7.0,0.0,,25,1.0578034682080926,18-7-0,4.48,52.0,2.39,,0.16,11.0,71.0,0.6
Tuco Tokkos,3e8118c1ab52f211,193,93,193,Orthodox,1990-06-30,35,11.0,5.0,0.0,,16,1.0,11-5-0,2.12,40.0,4.27,,4.21,47.0,33.0,0.5
Jackson McVey,3eeec2f53cebdf12,193,84,196,Southpaw,1999-03-25,26,6.0,1.0,0.0,,7,1.0155440414507773,6-1-0,1.12,26.0,1.95,,0.0,0.0,0.0,0.0
Yizha,3f11fd1751fa83b1,170,66,180,Orthodox,1997-01-08,28,26.0,5.0,0.0,,31,1.0588235294117647,26-5-0,2.97,45.0,2.81,,3.51,30.0,54.0,1.1
Melissa Martinez,3f4c3bc822bea45d,157,52,168,Southpaw,1997-08-18,28,8.0,2.0,0.0,,10,1.070063694267516,8-2-0,3.78,47.0,5.21,,0.35,50.0,50.0,0.0
Daniel Zellhuber,4148802ae4a50768,185,70,196,Switch,1999-07-07,26,15.0,3.0,0.0,,18,1.0594594594594595,15-3-0,5.83,39.0,5.91,,0.15,25.0,94.0,0.1
Hyder Amil,41cc71cbf210e0fe,175,66,178,Switch,1990-05-28,35,11.0,1.0,0.0,,12,1.0171428571428571,11-1-0,6.84,57.0,4.18,,0.77,20.0,81.0,1.2
Tatsuro Taira,4461d7e47375a895,170,57,178,Orthodox,2000-01-27,25,17.0,1.0,0.0,,18,1.0470588235294118,17-1-0,2.87,60.0,2.54,,3.21,48.0,45.0,1.7
Muslim Salikhov,447f9858ae78f921,180,77,178,Orthodox,1984-06-09,41,22.0,5.0,0.0,,27,0.9888888888888889,22-5-0,3.39,49.0,2.92,,1.08,32.0,72.0,0.0
John Yannis,450bcab0968562c4,170,66,178,Southpaw,1994-07-07,31,9.0,4.0,0.0,,13,1.0470588235294118,9-4-0,0.0,0.0,0.55,,0.0,0.0,0.0,0.0
Miles Johns,46e0d677f91bacc0,170,61,173,Orthodox,1994-03-30,31,15.0,4.0,0.0,1.0,20,1.0176470588235293,15-4-0 (1 NC),3.38,44.0,2.99,,1.29,26.0,83.0,0.0
Kiefer Crosbie,4729c93ba705a3bf,180,77,178,Switch,1990-04-05,35,10.0,6.0,0.0,,16,0.9888888888888889,10-6-0,4.46,64.0,5.8,,0.0,0.0,40.0,0.0
Elves Brener,48a9a128784d53d1,178,70,183,Orthodox,1997-09-27,27,16.0,6.0,0.0,,22,1.0280898876404494,16-6-0,4.76,47.0,5.86,,0.99,16.0,76.0,0.0
Seokhyeon Ko,4a07b1988477502c,178,77,180,Southpaw,1993-09-24,31,12.0,2.0,0.0,,14,1.0112359550561798,12-2-0,2.9,52.0,2.0,,4.0,53.0,75.0,0.5
Stephen Thompson,4a28cb716c19157a,183,77,190,Orthodox,1983-02-11,42,17.0,9.0,1.0,,27,1.0382513661202186,17-9-1,4.05,46.0,3.0,,0.23,35.0,63.0,0.0
Michael Johnson,511e82663651438d,178,70,185,Southpaw,1986-06-04,39,25.0,19.0,0.0,,44,1.0393258426966292,25-19-0,4.28,39.0,3.79,,0.58,38.0,81.0,0.0
Felipe Bunes,53c10176e3bc7416,170,57,175,Orthodox,1989-10-29,35,14.0,8.0,0.0,,22,1.0294117647058822,14-8-0,2.93,50.0,4.66,,1.13,22.0,40.0,2.3
Chris Curtis,5442f1bc4b47eaf3,178,77,190,Orthodox,1987-07-15,38,32.0,12.0,0.0,1.0,45,1.0674157303370786,32-12-0 (1 NC),5.98,50.0,6.19,,0.0,0.0,82.0,0.0
Jamahal Hill,5444c5a201d3ee5a,193,93,201,Southpaw,1991-05-19,34,12.0,4.0,0.0,1.0,17,1.0414507772020725,12-4-0 (1 NC),6.19,51.0,4.03,,0.0,0.0,73.0,0.0
Ilia Topuria,54f64b5e283b0ce7,170,70,175,Orthodox,1997-01-21,28,17.0,0.0,0.0,,17,1.0294117647058822,17-0-0,4.81,48.0,3.83,,1.96,61.0,93.0,1.1
Aaron Pico,5537efc6e496dd84,173,66,178,Orthodox,1996-09-23,28,13.0,5.0,0.0,,18,1.0289017341040463,13-5-0,3.88,44.0,2.39,,8.96,66.0,0.0,0.0
Nate Landwehr,583ee11abddfc581,175,66,183,Orthodox,1988-06-06,37,18.0,7.0,0.0,,25,1.0457142857142858,18-7-0,5.63,45.0,5.83,,0.76,41.0,71.0,0.8
Michel Pereira,595db60957de51d3,185,84,185,Orthodox,1993-10-06,31,31.0,14.0,0.0,2.0,47,1.0,31-14-0 (2 NC),4.49,52.0,4.35,,1.13,52.0,76.0,0.7
Morgan Charriere,5b03b61f9d90125e,173,66,175,Orthodox,1995-10-26,29,21.0,11.0,1.0,,33,1.0115606936416186,21-11-1,4.08,50.0,4.54,,2.11,46.0,83.0,0.3
Christian Rodriguez,5ec591b78349ba7e,170,66,180,Orthodox,1997-12-17,27,12.0,4.0,0.0,,16,1.0588235294117647,12-4-0,3.85,50.0,2.85,,1.75,40.0,67.0,1.1
Kyler Phillips,60425d07ef4b91a7,173,61,183,Orthodox,1995-06-12,30,12.0,4.0,0.0,,16,1.0578034682080926,12-4-0,5.04,42.0,3.83,,2.31,45.0,75.0,0.4
Marcin Prachnio,6370c1c1e12723d5,190,93,185,Orthodox,1988-07-14,37,17.0,9.0,0.0,,26,0.9736842105263158,17-9-0,5.52,54.0,3.15,,0.14,20.0,53.0,0.0
Edson Barboza,64a50dad704d1d49,180,70,190,Orthodox,1986-01-21,39,24.0,13.0,0.0,,37,1.0555555555555556,24-13-0,4.14,44.0,4.6,,0.43,50.0,73.0,0.1
Eric Nolan,64b12fe31be7560c,188,84,188,Orthodox,1997-09-13,27,8.0,4.0,0.0,,12,1.0,8-4-0,3.14,39.0,5.13,,0.0,0.0,71.0,0.0
Uros Medic,681399317dbf4701,185,77,180,Southpaw,1993-04-25,32,11.0,3.0,0.0,,14,0.972972972972973,11-3-0,5.47,60.0,3.5,,0.36,50.0,55.0,0.0
Tracy Cortez,68d4a891e5cf2029,165,57,165,Orthodox,1993-12-10,31,12.0,2.0,0.0,,14,1.0,12-2-0,3.79,49.0,2.84,,2.19,47.0,62.0,0.3
Steven Nguyen,69037fc7730e4225,180,66,185,Switch,1993-05-19,32,10.0,2.0,0.0,,12,1.0277777777777777,10-2-0,7.47,42.0,7.1,,0.24,100.0,88.0,0.0
Jessica Andrade,6a1901c62ab3870f,155,52,157,Orthodox,1991-09-25,33,26.0,15.0,0.0,,41,1.0129032258064516,26-15-0,6.37,48.0,5.58,,2.1,54.0,75.0,0.3
Ismail Naurdiev,6a96ad1bc34fb113,178,84,188,Orthodox,1996-08-18,29,24.0,8.0,0.0,,32,1.0561797752808988,24-8-0,3.69,52.0,1.77,,1.5,40.0,73.0,0.2
Gerald Meerschaert,6ac9bc2953c47345,185,84,196,Southpaw,1987-12-18,37,37.0,20.0,0.0,,57,1.0594594594594595,37-20-0,3.02,45.0,3.49,,1.83,30.0,42.0,1.4
Julius Walker,6add18754930182b,193,93,198,Orthodox,1999-07-16,26,7.0,1.0,0.0,,8,1.0259067357512954,7-1-0,4.33,55.0,3.53,,3.5,36.0,100.0,0.0
Oban Elliott,6b56e94a59b7b134,183,77,183,Orthodox,1997-12-19,27,12.0,3.0,0.0,,15,1.0,12-3-0,3.5,48.0,2.24,,1.7,44.0,55.0,0.0
Ode Osbourne,6d68c1afe954f121,170,57,185,Southpaw,1992-01-09,33,13.0,9.0,0.0,1.0,23,1.088235294117647,13-9-0 (1 NC),3.07,41.0,3.43,,1.09,30.0,66.0,0.5
Brandon Royval,6e15f63b6c2e2c15,175,57,173,Southpaw,1992-08-16,33,17.0,8.0,0.0,,25,0.9885714285714285,17-8-0,5.55,41.0,4.23,,0.67,75.0,45.0,1.1
Payton Talbott,6e743a33d56bdaa4,178,61,178,Switch,1998-09-09,26,10.0,1.0,0.0,,11,1.0,10-1-0,6.05,54.0,3.26,,0.24,25.0,76.0,0.2
Ibo Aslan,6e8f1bcdda94ff45,190,93,196,Orthodox,1996-04-23,29,14.0,3.0,0.0,,17,1.0315789473684212,14-3-0,5.09,47.0,3.47,,0.0,0.0,86.0,0.0
Diyar Nurgozhay,709fadb644ee3f51,188,93,188,Southpaw,1997-04-22,28,10.0,2.0,0.0,,12,1.0,10-2-0,3.04,50.0,2.99,,2.54,100.0,100.0,0.0
Jimmy Crute,70e1f8a821b72c8b,188,93,188,Orthodox,1996-03-04,29,13.0,4.0,2.0,,19,1.0,13-4-2,4.17,52.0,3.68,,4.2,52.0,58.0,1.9
Vitor Petrino,71171fc96445bf65,188,120,196,Orthodox,1997-08-28,28,12.0,2.0,0.0,,14,1.0425531914893618,12-2-0,2.72,45.0,2.6,,3.25,58.0,71.0,1.0
Lauren Murphy,729d4bd5a6cd0a97,165,57,170,Orthodox,1983-07-27,42,16.0,7.0,0.0,,23,1.0303030303030303,16-7-0,3.94,38.0,5.19,,1.09,24.0,67.0,0.2
Rizvan Kuniev,739fd4fbb5d862f4,193,109,193,Orthodox,1992-03-10,33,12.0,3.0,1.0,1.0,17,1.0,12-3-1 (1 NC),4.45,58.0,2.45,,1.45,75.0,90.0,0.0
Fatima Kline,745fa7b605f8e2da,168,52,170,Orthodox,2000-07-12,25,8.0,1.0,0.0,,9,1.0119047619047619,8-1-0,3.94,49.0,2.29,,1.21,60.0,50.0,0.0
Elijah Smith,7478b7f959ba61f5,175,61,180,Orthodox,2002-09-05,23,9.0,1.0,0.0,,10,1.0285714285714285,9-1-0,4.45,47.0,3.4,,3.51,53.0,57.0,0.9
Taiyilake Nueraji,7498b3ac79a3b948,188,77,190,Southpaw,2001-01-12,24,12.0,1.0,0.0,1.0,14,1.0106382978723405,12-1-0 (1 NC),9.82,53.0,5.01,,1.47,33.0,100.0,0.0
Khalil Rountree Jr.,749f572d1d3161fb,185,93,193,Southpaw,1990-02-26,35,15.0,6.0,0.0,1.0,22,1.0432432432432432,15-6-0 (1 NC),3.79,40.0,4.24,,0.0,0.0,58.0,0.1
Calvin Kattar,751de04455cfaac0,180,66,183,Orthodox,1988-03-26,37,23.0,10.0,0.0,,33,1.0166666666666666,23-10-0,4.41,37.0,6.55,,0.34,29.0,77.0,0.1
Khamzat Chimaev,767755fd74662dbf,188,84,190,Orthodox,1994-05-01,31,15.0,0.0,0.0,,15,1.0106382978723405,15-0-0,4.04,60.0,2.32,,5.29,55.0,85.0,1.8
Marvin Vettori,7acbb0972e75281a,183,84,188,Southpaw,1993-09-20,31,19.0,9.0,1.0,,29,1.0273224043715847,19-9-1,4.68,45.0,4.52,,1.43,45.0,65.0,0.4
Westin Wilson,7b3503352cd53abb,185,66,185,Southpaw,1989-01-24,36,17.0,10.0,0.0,,27,1.0,17-10-0,1.57,31.0,6.71,,1.57,16.0,33.0,7.9
Drakkar Klose,7cbf7c78d3b34218,175,70,178,Orthodox,1988-03-09,37,16.0,3.0,1.0,,20,1.0171428571428571,16-3-1,4.25,55.0,3.65,,1.49,26.0,69.0,0.0
Jose Delgado,7d6ceff6747f2de2,180,66,188,Switch,1998-04-21,27,10.0,1.0,0.0,,11,1.0444444444444445,10-1-0,7.13,49.0,3.67,,4.58,60.0,71.0,0.0
Nick Klein,7eaa5e31c2dd86aa,185,84,196,Orthodox,1995-09-08,29,6.0,3.0,0.0,,9,1.0594594594594595,6-3-0,2.51,56.0,3.41,,5.79,35.0,66.0,1.9
Carlos Prates,7ee0fd831c0fe7c3,185,77,198,Switch,1993-08-17,32,22.0,7.0,0.0,,29,1.0702702702702702,22-7-0,3.82,54.0,4.8,,0.23,100.0,84.0,0.0
Azat Maksum,7f1bf0c255ec8756,170,57,178,Southpaw,1995-02-02,30,15.0,2.0,0.0,,17,1.0470588235294118,15-2-0,3.24,28.0,5.0,,2.33,28.0,85.0,0.3
Terrance McKinney,809bd1a871491508,178,70,185,Switch,1994-09-15,30,17.0,7.0,0.0,,24,1.0393258426966292,17-7-0,5.78,56.0,2.58,,3.59,40.0,77.0,2.2
Charles Johnson,814e5233e2acf2ee,175,57,178,Switch,1991-01-10,34,18.0,7.0,0.0,,25,1.0171428571428571,18-7-0,4.73,49.0,3.78,,0.56,20.0,66.0,0.4
Dan Ige,82a5152216251682,170,66,180,Orthodox,1991-08-06,34,19.0,10.0,0.0,,29,1.0588235294117647,19-10-0,3.64,45.0,3.56,,0.89,25.0,56.0,0.2
Rafael Estevam,83455a9d17f57dae,173,57,175,Orthodox,1996-08-10,29,14.0,0.0,0.0,,14,1.0115606936416186,14-0-0,2.1,54.0,2.59,,6.01,38.0,66.0,0.3
Mateusz Rebecki,849c5d9979df5357,170,70,168,Southpaw,1992-11-03,32,20.0,3.0,0.0,,23,0.9882352941176471,20-3-0,5.29,46.0,4.53,,3.46,65.0,50.0,0.6
Neil Magny,84b3e7d38f2d2ec5,190,77,203,Orthodox,1987-08-03,38,30.0,14.0,0.0,,44,1.068421052631579,30-14-0,3.45,46.0,2.47,,2.15,39.0,55.0,0.2
Kai Kara-France,853eb0dd5c0e2149,163,57,175,Orthodox,1993-03-26,32,25.0,12.0,0.0,1.0,38,1.0736196319018405,25-12-0 (1 NC),4.46,40.0,3.24,,0.56,30.0,83.0,0.0
Jacobe Smith,85497ffd934ecf7e,178,77,183,Southpaw,1996-01-17,29,11.0,0.0,0.0,,11,1.0280898876404494,11-0-0,6.21,66.0,2.86,,7.42,90.0,100.0,0.8
Kennedy Nzechukwu,8667caa0451d245b,196,107,211,Southpaw,1992-06-13,33,14.0,6.0,0.0,,20,1.0765306122448979,14-6-0,5.33,46.0,4.89,,0.55,45.0,80.0,0.2
Xiao Long,86bace9e4ad85542,173,61,178,Orthodox,1998-04-13,27,27.0,10.0,0.0,,37,1.0289017341040463,27-10-0,5.25,46.0,4.2,,0.69,25.0,79.0,0.0
Jose Ochoa,88be62d6c1e6dadb,170,57,170,Southpaw,2000-12-31,24,8.0,2.0,0.0,1.0,11,1.0,8-2-0 (1 NC),3.01,37.0,2.33,,0.43,50.0,59.0,1.3
Daniel Rodriguez,8a1f3b5c526cd6e6,185,77,188,Southpaw,1986-12-31,38,20.0,5.0,0.0,,25,1.0162162162162163,20-5-0,7.2,49.0,5.4,,0.51,50.0,64.0,0.1
Zhang Mingyang,8a65fd9ba31fd3f7,188,93,190,Orthodox,1998-08-16,27,19.0,7.0,0.0,,26,1.0106382978723405,19-7-0,7.71,60.0,5.33,,0.0,0.0,75.0,0.0
Elizeu Zaleski dos Santos,8adcbd525fab8d9b,180,77,185,Orthodox,1986-12-11,38,25.0,10.0,1.0,,36,1.0277777777777777,25-10-1,4.16,41.0,3.56,,0.79,20.0,67.0,0.4
Ketlen Souza,8bd4200561c77a62,160,52,160,Orthodox,1994-08-18,31,15.0,6.0,0.0,,21,1.0,15-6-0,4.56,57.0,4.4,,0.3,14.0,50.0,0.3
Maheshate,8c1ca54b5089d199,183,70,180,Orthodox,1999-12-01,25,10.0,5.0,0.0,,15,0.9836065573770492,10-5-0,3.96,31.0,5.96,,0.0,0.0,47.0,0.0
Muhammad Naimov,8d11d9c13e2ccdf7,175,66,178,Orthodox,1994-08-07,31,13.0,3.0,0.0,,16,1.0171428571428571,13-3-0,2.61,40.0,3.45,,1.69,36.0,67.0,0.2
Asu Almabayev,8d3273573b85be09,163,57,165,Orthodox,1994-01-25,31,22.0,3.0,0.0,,25,1.0122699386503067,22-3-0,2.16,54.0,1.75,,4.66,43.0,50.0,1.5
Loopy Godinez,8e5d953bdb9ae5e7,157,52,155,Orthodox,1993-09-06,32,14.0,5.0,0.0,,19,0.9872611464968153,14-5-0,4.51,49.0,4.03,,2.96,41.0,81.0,0.9
Marc-Andre Barriault,8e9eb3fc86db0f7d,185,84,188,Orthodox,1990-02-18,35,17.0,10.0,0.0,1.0,28,1.0162162162162163,17-10-0 (1 NC),5.7,47.0,5.63,,0.37,28.0,68.0,0.1
Martin Buday,8eb046f83e82bf26,193,120,196,Orthodox,1991-11-11,33,16.0,2.0,0.0,,18,1.0155440414507773,16-2-0,4.39,53.0,4.49,,0.15,20.0,93.0,0.1
